Produced: 97 | Buffer: [97]
Consumed: 97 | Buffer: []
Produced: 87 | Buffer: [87]
Consumed: 87 | Buffer: []
Produced: 35 | Buffer: [35]
Consumed: 35 | Buffer: []
Produced: 77 | Buffer: [77]
Consumed: 77 | Buffer: []
Produced: 71 | Buffer: [71]
Consumed: 71 | Buffer: []
Produced: 19 | Buffer: [19]
Consumed: 19 | Buffer: []
Produced: 12 | Buffer: [12]
Consumed: 12 | Buffer: []
Produced: 14 | Buffer: [14]
Consumed: 14 | Buffer: []
Produced: 49 | Buffer: [49]
Consumed: 49 | Buffer: []
Produced: 33 | Buffer: [33]
Consumed: 33 | Buffer: []
